country,year,pop,continent,lifeExp,gdpPercap
Peru,1997,24748122.0,Americas,68.38600000000001,5838.347657
Philippines,1997,75012988.0,Asia,68.564,2536.534925
Poland,1997,38654957.0,Europe,72.75,10159.58368
Portugal,1997,10156415.0,Europe,75.97,17641.03156
Puerto Rico,1997,3759430.0,Americas,74.917,16999.4333
Reunion,1997,684810.0,Africa,74.77199999999999,6071.941411
Romania,1997,22562458.0,Europe,69.72,7346.547556999999
Rwanda,1997,7212583.0,Africa,36.086999999999996,589.9445051
Sao Tome and Principe,1997,145608.0,Africa,63.306000000000004,1339.076036
Saudi Arabia,1997,21229759.0,Asia,70.533,20586.69019
Senegal,1997,9535314.0,Africa,60.187,1392.368347
Serbia,1997,10336594.0,Europe,72.232,7914.320304000001
Sierra Leone,1997,4578212.0,Africa,39.897,574.6481576
Singapore,1997,3802309.0,Asia,77.158,33519.4766
Slovak Republic,1997,5383010.0,Europe,72.71,12126.23065
Slovenia,1997,2011612.0,Europe,75.13,17161.10735
Somalia,1997,6633514.0,Africa,43.795,930.5964284
South Africa,1997,42835005.0,Africa,60.236000000000004,7479.188244
Spain,1997,39855442.0,Europe,78.77,20445.29896
Sri Lanka,1997,18698655.0,Asia,70.457,2664.477257
Sudan,1997,32160729.0,Africa,55.373000000000005,1632.2107640000002
Swaziland,1997,1054486.0,Africa,54.288999999999994,3876.7684600000002
Sweden,1997,8897619.0,Europe,79.39,25266.59499
Switzerland,1997,7193761.0,Europe,79.37,32135.323010000004
Syria,1997,15081016.0,Asia,71.527,4014.238972
Taiwan,1997,21628605.0,Asia,75.25,20206.82098
Tanzania,1997,30686889.0,Africa,48.466,789.1862231
Thailand,1997,60216677.0,Asia,67.521,5852.625497
Togo,1997,4320890.0,Africa,58.39,982.2869242999999
Trinidad and Tobago,1997,1138101.0,Americas,69.465,8792.573126000001
Tunisia,1997,9231669.0,Africa,71.973,4876.798614
Turkey,1997,63047647.0,Europe,68.835,6601.429915
Uganda,1997,21210254.0,Africa,44.578,816.559081
United Kingdom,1997,58808266.0,Europe,77.218,26074.53136
United States,1997,272911760.0,Americas,76.81,35767.43303
Uruguay,1997,3262838.0,Americas,74.223,9230.240708
Venezuela,1997,22374398.0,Americas,72.146,10165.49518
Vietnam,1997,76048996.0,Asia,70.672,1385.896769
West Bank and Gaza,1997,2826046.0,Asia,71.096,7110.667619
Yemen Rep.,1997,15826497.0,Asia,58.02,2117.484526
Zambia,1997,9417789.0,Africa,40.238,1071.353818
Zimbabwe,1997,11404948.0,Africa,46.809,792.4499602999999
